"duration";"wage.increase.first.year";"wage.increase.second.year";"wage.increase.third.year";"cost.of.living.adjustment";"working.hours";"pension";"standby.pay";"shift.differential";"education.allowance";"statutory.holidays";"vacation";"longterm.disability.assistance";"contribution.to.dental.plan";"bereavement.assistance";"contribution.to.health.plan";"class"
2;4,5;4;4,6;"tcf";40;"ret_allw";14;4;"yes";10;"generous";"yes";"half";"yes";"full";"good"
3;2;2;2;"none";38;"empl_contr";10;5;"yes";11;"generous";"yes";"half";"yes";"half";"good"
1;2;4,6;2;"tc";40;"ret_allw";4;0;"no";11;"generous";"no";"none";"no";"none";"bad"
1;5,7;3,5;5;"none";40;"empl_contr";4;4;"yes";11;"generous";"yes";"full";"no";"none";"good"
2;3,5;4;4,6;"none";40;"none";14;2;"no";10;"below_average";"no";"half";"yes";"half";"bad"
2;2;2,5;5,1;"tcf";35;"none";14;6;"yes";12;"average";"no";"full";"yes";"full";"good"
2;4,6;4,6;2;"tcf";38;"empl_contr";10;5;"no";11;"below_average";"yes";"half";"yes";"half";"good"
2;2,5;3;4,6;"none";40;"none";2;3;"no";11;"below_average";"no";"half";"yes";"full";"bad"
3;3,7;4;5;"tc";40;"none";14;3;"yes";11;"below_average";"yes";"full";"yes";"full";"good"
2;5;4;2;"none";37;"empl_contr";10;5;"no";11;"below_average";"yes";"full";"yes";"full";"good"
1;2,8;5;5;"tc";35;"empl_contr";12;2;"yes";12;"below_average";"yes";"none";"yes";"half";"good"
2;2;3;2;"none";38;"empl_contr";12;25;"yes";12;"generous";"yes";"none";"yes";"full";"bad"
1;3;6,4;5;"none";36;"none";4;10;"no";11;"generous";"no";"full";"yes";"half";"good"
3;3,5;4;4,6;"tcf";27;"none";2;1;"no";11;"average";"no";"half";"yes";"full";"good"
3;4,5;4,5;5;"none";40;"none";14;5;"no";12;"average";"no";"half";"yes";"half";"good"
2;6,4;6,4;5;"tc";38;"none";4;4;"no";15;"average";"no";"full";"yes";"half";"good"
3;3;2;2,5;"tc";40;"none";4;5;"no";10;"below_average";"yes";"half";"yes";"full";"bad"
1;4;3,5;5;"none";40;"none";4;6;"yes";11;"average";"no";"none";"no";"none";"bad"
2;4,5;4;4,6;"none";40;"none";14;5;"no";11;"average";"no";"full";"yes";"full";"good"
3;3,5;4;4,6;"none";36;"none";2;3;"yes";13;"generous";"no";"half";"yes";"full";"good"
2;5;4,5;4,6;"none";38;"ret_allw";14;5;"yes";11;"below_average";"yes";"full";"yes";"full";"good"
2;2,5;3;4,6;"tcf";40;"none";14;3;"yes";11;"below_average";"no";"none";"yes";"none";"bad"
3;3,5;4;5,1;"tcf";37;"none";14;4;"yes";13;"generous";"no";"full";"yes";"full";"good"
3;5;5;5;"tc";40;"none";4;5;"no";12;"average";"yes";"half";"yes";"half";"good"
3;4,5;4,5;5;"none";40;"none";2;1;"no";11;"average";"no";"half";"yes";"full";"good"
2;4;5;2;"none";40;"none";4;3;"no";10;"below_average";"no";"none";"yes";"none";"bad"
2;2,5;2,5;4;"tc";39;"empl_contr";12;14;"yes";12;"average";"yes";"full";"yes";"full";"bad"
3;2;2,5;4,6;"none";35;"none";14;2;"no";10;"average";"no";"half";"yes";"full";"bad"
3;5;4,4;5,1;"none";38;"empl_contr";10;6;"yes";11;"generous";"yes";"full";"yes";"full";"good"
2;4,5;5,8;4,6;"tcf";35;"ret_allw";2;1;"yes";11;"below_average";"no";"full";"yes";"full";"good"
1;5;4;5;"tc";40;"none";4;2;"no";11;"average";"no";"half";"yes";"half";"good"
1;2;3,5;5;"none";38;"none";4;4;"yes";11;"average";"no";"none";"no";"none";"bad"
3;6;6;4;"none";35;"empl_contr";12;14;"yes";9;"generous";"yes";"full";"yes";"full";"good"
3;2;2;2;"none";40;"none";10;6;"yes";10;"below_average";"yes";"half";"yes";"full";"bad"
2;5,7;4,5;4,6;"none";40;"ret_allw";14;5;"yes";11;"average";"yes";"full";"yes";"full";"good"
3;2;2,5;2;"none";37;"empl_contr";4;4;"yes";10;"average";"no";"none";"yes";"none";"bad"
2;4,5;4;5;"tc";40;"none";4;2;"no";10;"below_average";"no";"half";"yes";"half";"bad"
3;4;3,5;5;"none";40;"empl_contr";4;6;"no";11;"average";"yes";"full";"yes";"full";"good"
3;4;5;5;"tc";39;"empl_contr";12;14;"yes";12;"generous";"yes";"none";"yes";"half";"good"
2;4;4;4,6;"none";40;"none";14;3;"yes";10;"below_average";"no";"none";"yes";"none";"bad"
2;3;3;5;"none";33;"none";14;5;"yes";12;"generous";"no";"half";"yes";"full";"good"
2;4,5;4,5;4,6;"tcf";40;"ret_allw";14;5;"yes";10;"below_average";"yes";"none";"yes";"half";"good"
3;2;2,5;2,1;"tc";40;"none";2;1;"no";10;"below_average";"no";"half";"yes";"full";"bad"
2;3;7;2;"tc";38;"ret_allw";12;25;"yes";11;"below_average";"yes";"half";"yes";"none";"good"
1;2,1;5;2;"tc";40;"ret_allw";2;3;"no";9;"below_average";"yes";"half";"yes";"none";"bad"
